pk,title,album,artist,year,apple,spotify
1,Doodlin',The Great Ray Charles,Ray Charles,1957,doodlin/355037726?i=355038036,2d30AUtaAPaN8rFzI46Pvf
2,Maple Leaf Rag,,Scott Joplin,1916,maple-leaf-rag/983043423?i=983043785,6oXa023YhxFFjdsjsOfdkl
3,Don't Try Your Jive on Me (Pipe Organ),The London Suite and Assorted Rarities,Fats Waller,1938,dont-try-your-jive-on-me-pipe-organ/1617818964?i=1617819043,2C5h1ytCxsyPu6jn5lfIds
4,Willow Tree,,Louisiana Sugar Babies,1928,willow-tree/255421986?i=255422884,5mpS51sQvQlKGHpFnDrUJa
5,Back to the Blues,Embraced,Mary Lou Williams & Cecil Taylor,1977,back-to-the-blues-live-in-new-york-city-ny-april-17-1977/1621626715?i=1621627656,4fJ5yTDd1FkEUuWsd3HJWA
6,Chameleon,Head Hunters,Herbie Hancock,1973,chameleon/158571524?i=158571527,4Ce66JznW8QbeyTdSzdGwR
7,Spain,Light as a Feather,Chick Corea,1973,spain/1452803070?i=1452804207,5RrJCusmR1J54b5ivqdWIu
8,Parisian Thoroughfare,"The Amazing Bud Powell, Vol. 1 (The Rudy Van Gelder Edition)",Bud Powell,1951,parisian-thoroughfare-1998-remaster-the-rudy-van/738341407?i=738341579,1eMEq1WanwcVsskUAkQzAC
9,Parisian Thoroughfare,Clifford Brown and Max Roach,"Clifford Brown, Max Roach",1954,parisian-thoroughfare/1434920027?i=1434920176,2IjJpVjPONJWe9BnCp190W
10,Song for My Father,Song for My Father,Horace Silver,1965,song-for-my-father/1471085186?i=1471085189,1CDBaGlisZlOJzvx88lL8A
11,"Maple Leaf Rag, St. Louis Style / New Orleans Style",,Jelly Roll Morton,1938,maple-leaf-rag-st-louis-style-maple-leaf-rag-new-orleans/80951209?i=80947408,
12,Gladiolus Rag,Scott Joplin Piano Rags,Joshua Rifkin,1970,gladiolus-rag-lp-version/83146601?i=83146514,1O8yOMfaY52VrixDslzVST
13,Cornet Chop Suey,,Louis Armstrong and His Hot Five,1926,cornet-chop-suey/477023849?i=477023856,43yFThYhrbtKGYVna1hOBs
14,You're Next,,Louis Armstrong and His Hot Five,1926,youre-next/477023849?i=477023858,5lI3UMDzq4Wc2LaohrOQZZ
15,Somebody Stole My Gal,,Bix Beiderbecke and His Gang,1928,somebody-stole-my-gal/1760341949?i=1760341952,6HHFrtNQ9bGZ51UPUjj6x5
16,West End Blues,,Louis Armstrong and His Hot Five,1928,west-end-blues/293785410?i=293785633,4qAaQVyiua5xjkYvUMLSVr
17,Just for a Thrill,,Lil Hardin Armstrong,1937,just-for-a-thrill/453478342?i=453478344,47VgMwsxTDie9Yo3FuzzR5
18,Carolina Shout,,James P. Johnson,1921,carolina-shout/1160572804?i=1160573238,20MqMBvmdiPXDFEsmUkFN8
19,Night Life,,Mary Lou Williams,1930,night-life-feat-mary-lou-williams/780626441?i=780626638,3dtnk9zUykNcezqIMCIZJu
20,I Ain't Got Nobody (and Nobody Cares for Me),,Fats Waller,1937,i-aint-got-nobody-and-nobody-cares-for-me-instrumental/304747899?i=304747910,3E9XR6NrAcBbgTq38SNmOd
21,You've Got to Be Modernistic,,James P. Johnson,youve-got-to-be-modernistic/1362354307?i=1362355213,7u0nkqwO95pyMY9CspORbu
22,Honky Tonk Train Blues,,"Meade ""Lux"" Lewis",1937,honky-tonk-train-blues/290701711?i=290701778,7oTDuYHa8B8M6MpfR68oGy
23,You'd Be So Nice to Come Home To,Jazz Advance,Cecil Taylor,1956,youd-be-so-nice-to-come-home-to/862524164?i=862524692,4emAHkDOBAmLUjHWz6MFRU
24,Handful of Keys,,Fats Waller,1929,handful-of-keys/304747899?i=304747903,7bKzRFukYg4WRYARpYTiwe
25,Jitney #2,Silent Tongues,Cecil Taylor,1974,jitney-no-2/105497705?i=105497607,35L84eBzSSJH4i3o38cVhh
